path,st_mode,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_mtime,st_ctime
/home/w/weismanm/.eclipse/org.eclipse.platform_3.7.0_155965261/configuration/org.eclipse.osgi/bundles/154/1/.cp/intro/css/tutorials.properties,33188,42080940,24,1,2363,2002,793,1358884043.913109,1358884043.9171093,1358884043.9171093
/home/w/weismanm/.vim/bundle/vundle/.git/refs/remotes,16877,40371789,24,3,2363,2002,4096,1378929273.3444166,1372281532.0,1378929273.3564167
/home/w/weismanm/Desktop/api/help-doc.html,33188,42995364,24,1,2363,2002,8469,1381343220.0,1381342570.0,1381343220.2264569
/home/w/weismanm/cs290f2013-fp-team1/bin/edu/allegheny/tweetanalyze/ui/cli/AsciiGraph.class,33188,42209701,24,1,2363,2002,452,1386971211.1606243,1386971211.1606243,1386971211.1606243
/home/w/weismanm/.local/share/Trash/files/wworkspace/.metadata/.plugins/org.eclipse.ui.workbench/dialog_settings.xml,33188,39718328,24,1,2363,2002,77,1364946615.9211195,1364946615.9211195,1364946615.9211195
/home/w/weismanm/Documents/cs290f2013-lab7-team3/cs290f2013-lab7-team3/lib/ant-apache-bsf.jar,33188,43125896,24,1,2363,2002,6272,1383771828.897789,1383771828.897789,1383771828.897789
/home/w/weismanm/Desktop/Old Firefox Data/xwq66wc2.default/safebrowsing/goog-phish-shavar.cache,33188,42867841,24,1,2363,2002,12,1391443628.4955304,1391443628.5035305,1391443628.5035305
/home/w/weismanm/cs290f2013-fp-team1/.git/objects/07/c686bea9a086886ffde6608714e2b5f7d019d9,33060,42209039,24,1,2363,2002,319,1386968743.307188,1386968743.307188,1386968743.319188
/home/w/weismanm/.local/share/gvfs-metadata/.nfs00000000028e0f1e000001a6,33188,42864414,24,1,2363,2002,32768,1358888395.2676117,1358957049.1888127,1358958372.3921165
/home/w/weismanm/Documents/cs290f2013-lab5-team4/ReleasePlanner/src/com/group4/test/TimedTest.java,33188,42995770,24,1,2363,2002,394,1383158653.3925598,1383158653.3965597,1383158653.3965597
